idinterrupcion,eps,sede,tipointerrupcion,tiposervicio,motivointerrupcion,fechainicio,horainicio,fechafin,horafin,departamento,provincia,distrito,numconexdom,unidadesuso,numcamionespuntos,inicio_dt,fin_dt,duracion_horas,mes
bc2d8c5f3e0059bec0288dc917fac507,SEDAPAL,COMAS,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230302,14:00:00,20230302,22:00:00,LIMA,LIMA,PUENTE PIEDRA,7546,10831,NA,2023-03-03,2023-03-03,0,2023-03-01
3dd1c86f5809382c896e9c0e29559b36,SEDAPAL,VES,IMPREVISTA,AGUA POTABLE,OTROS,20230302,10:00:00,20230302,14:00:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,18561,27282,NA,2023-03-02,2023-03-03,24,2023-03-01
39e801d487edb298e859e7ff6656f891,AGUA TUMBES,TUMBES,PROGRAMADA,AGUA POTABLE,CORTE DE SERVICIO DE ELECTRICIDAD,20230305,07:00:00,20230305,17:30:00,TUMBES,TUMBES,TUMBES,11653,11653,NA,2023-03-05,2023-03-06,24,2023-03-01
6c33c7bd978125da58ea671366b90938,EPS EMAPAT,EMAPAT,IMPREVISTA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,20230302,10:30:00,20230302,13:00:00,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,38,38,NA,2023-03-02,2023-03-03,24,2023-03-01
70cf061a7425730280f1a24ef6c51a0a,SEDAPAL,COMAS,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230302,07:55:00,20230302,15:00:00,LIMA,LIMA,LOS OLIVOS,2184,3345,NA,2023-03-02,2023-03-03,24,2023-03-01
0ac3b6a335283a7b876dcf0f1487adf0,SEDAPAL,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,20230302,06:35:00,20230302,18:30:00,LIMA,LIMA,PACHACAMAC,1090,1225,NA,2023-03-02,2023-03-03,24,2023-03-01
35f30dc18f29acd71e36a2b7538b03f1,SEDAPAL,VES,IMPREVISTA,AGUA POTABLE,ROTURA DE TUBERÍA DE AGUA POTABLE,20230302,07:10:00,20230302,18:30:00,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,312,359,NA,2023-03-02,2023-03-03,24,2023-03-01
5a3ac72581330157d3f5731e8352010d,SEDAPAL,ATE,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,20230302,06:40:00,20230302,14:00:00,LIMA,LIMA,LA MOLINA,2164,3223,NA,2023-03-02,2023-03-03,24,2023-03-01
182a528261eca7c388f5d83d81b0c023,SEDAPAL,VES,IMPREVISTA,AGUA POTABLE,FUGA EN CONEXIÓN,20230302,02:05:00,20230302,18:30:00,LIMA,LIMA,SAN JUAN DE MIRAFLORES,4698,7102,NA,2023-03-02,2023-03-03,24,2023-03-01
7ab9fea20f8c3b3b65de30525637b2f6,SEDAPAL,ATE,PROGRAMADA,AGUA POTABLE,LIMPIEZA Y DESINFECCIÓN DE RESERVORIO/CISTERNA,20230314,12:00:00,20230314,20:00:00,LIMA,LIMA,LA MOLINA,496,113,NA,2023-03-14,2023-03-15,24,2023-03-01
